observationStartMJD,band,m5,t_days,fiesta_filter,mag_true,snr_exp,mag_err,snr_obs,detected,mag_obs,mag_ulim
62468.22407535397,r,24.44059888944173,0.3777453860602691,lsstr,21.93051508569552,45.88660798548678,0.023935217496388404,45.40026546960659,True,21.942083992667495,
62468.22447678655,r,24.51634611948548,0.37814681863528676,lsstr,21.931909294969852,48.48562712870762,0.022722103793720822,49.298805837206814,True,21.913850839416114,
62468.22650217549,z,23.46632580485221,0.3801722075731959,lsstz,21.78461265362167,22.870705230390225,0.04706564552313612,24.587029152479325,True,21.706046404501347,
62468.22690726039,z,23.46229281493325,0.3805772924752091,lsstz,21.785411737071474,22.775028968534475,0.04725427234949819,23.18591832935123,True,21.765998327774913,
62468.22894255878,r,24.4702940966592,0.3826125908672111,lsstr,21.947320244801386,46.26916718321751,0.023747996833807083,46.04511829728581,True,21.952590468439244,
62468.252745509824,i,23.79264806554495,0.40641554191097384,lssti,21.917554828160807,27.193367511019634,0.0395274126399451,27.775908222373502,True,21.8945416371719,
62468.32952118781,z,22.918355095811663,0.48319121989334235,lsstz,21.921811230991374,12.430546450589969,0.084342778617504,12.567303834461002,True,21.909931495526575,
62477.164645897705,u,23.84462820766725,9.318315929791424,lsstu,,,,,False,,23.84462820766725
62477.16514354424,u,23.87857248873124,9.318813576326647,lsstu,,,,,False,,23.87857248873124
62477.16563867988,u,23.877867606082734,9.319308711965277,lsstu,,,,,False,,23.877867606082734
62477.18502467391,u,23.931878998940483,9.338694705998932,lsstu,,,,,False,,23.931878998940483
62477.18552236141,u,23.906120840251504,9.339192393497797,lsstu,,,,,False,,23.906120840251504
62477.18601615889,u,24.00701500212776,9.339686190978682,lsstu,,,,,False,,24.00701500212776
62477.190608162826,g,25.189363008795564,9.344278194912476,lsstg,,,,,False,,25.189363008795564
62477.1910093824,g,25.184887640811336,9.344679414483835,lsstg,,,,,False,,25.184887640811336
62477.193032993615,i,24.157792957988875,9.346703025701572,lssti,,,,,False,,24.157792957988875
62477.19343810395,i,24.155745796587983,9.347108136033057,lssti,,,,,False,,24.155745796587983
62479.16862339645,u,23.85791407181224,11.322293428536796,lsstu,,,,,False,,23.85791407181224
62479.16912042562,u,23.85375514034136,11.322790457707015,lsstu,,,,,False,,23.85375514034136
62479.169619522974,u,23.853562897242764,11.32328955506091,lsstu,,,,,False,,23.853562897242764
62479.178172747415,i,23.99299363112188,11.33184277950204,lssti,,,,,False,,23.99299363112188
62479.17857438013,i,23.991698063480104,11.332244412216824,lssti,,,,,False,,23.991698063480104
62479.18634975383,g,24.774188641368376,11.340019785915501,lsstg,,,,,False,,24.774188641368376
62479.18675359694,g,24.76920863197469,11.340423629029829,lsstg,,,,,False,,24.76920863197469
62479.19050862971,u,23.800011667001687,11.34417866179865,lsstu,,,,,False,,23.800011667001687
62479.191005661945,u,23.792490546734875,11.344675694032048,lsstu,,,,,False,,23.792490546734875
62479.19150317783,u,23.79212760466872,11.345173209920176,lsstu,,,,,False,,23.79212760466872
62482.14390461184,y,22.15612709759853,14.297574643926055,lssty,,,,,False,,22.15612709759853
62482.14431034544,y,22.154825159999994,14.297980377523345,lssty,,,,,False,,22.154825159999994
62482.18841778019,r,24.35659639609944,14.342087812277896,lsstr,,,,,False,,24.35659639609944
62482.18881928328,r,24.3541360489691,14.342489315364219,lsstr,,,,,False,,24.3541360489691
62482.202543514126,y,22.25555222024747,14.35621354621253,lssty,,,,,False,,22.25555222024747
62482.20294665769,y,22.25379143889896,14.356616689779912,lssty,,,,,False,,22.25379143889896
62482.20932789135,z,23.19044300070415,14.362997923439252,lsstz,,,,,False,,23.19044300070415
62482.20973135772,z,23.18824293181912,14.363401389804494,lsstz,,,,,False,,23.18824293181912
62483.232461167645,y,21.882647348511963,15.386131199731608,lssty,,,,,False,,21.882647348511963
62483.23286607264,y,21.87744538065704,15.386536104728293,lssty,,,,,False,,21.87744538065704
62483.234891296815,g,24.30029479590084,15.388561328902142,lsstg,,,,,False,,24.30029479590084
